ace ##r wants $ 170 to just look at it then add the repair cost on top of that .####0,2 -1,-1	SUPPORT#PRICE#1
the build quality is nice and the hi ##nge is sturdy .####7,9 10,11	HARDWARE#QUALITY#2
the keyboard also feels nice and the back ##light ##ing is great .####1,2 4,5	KEYBOARD#GENERAL#2
the keyboard also feels nice and the back ##light ##ing is great .####7,10 11,12	KEYBOARD#GENERAL#2
i use my chrome ##book a lot in the dark and it ' s a real treat .####3,5 16,17	LAPTOP#USABILITY#2
while the chrome ##book pro does have a nice high - resolution 3 : 2 screen and the s - pen ( which is truly a gi ##mm ##ick anyway ) , it has half the storage , shorter battery life , and no back ##lit keyboard .####36,37 -1,-1	MEMORY#DESIGN_FEATURES#0
while the chrome ##book pro does have a nice high - resolution 3 : 2 screen and the s - pen ( which is truly a gi ##mm ##ick anyway ) , it has half the storage , shorter battery life , and no back ##lit keyboard .####39,41 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
while the chrome ##book pro does have a nice high - resolution 3 : 2 screen and the s - pen ( which is truly a gi ##mm ##ick anyway ) , it has half the storage , shorter battery life , and no back ##lit keyboard .####44,47 -1,-1	KEYBOARD#DESIGN_FEATURES#0
this is among the best .####-1,-1 4,5	LAPTOP#GENERAL#2
it ' s much smooth ##er with web pages and android apps , and the touch screen is more responsive .####7,9 4,6	SOFTWARE#OPERATION_PERFORMANCE#2
it ' s much smooth ##er with web pages and android apps , and the touch screen is more responsive .####10,12 4,6	SOFTWARE#OPERATION_PERFORMANCE#2
it ' s much smooth ##er with web pages and android apps , and the touch screen is more responsive .####15,17 19,20	DISPLAY#OPERATION_PERFORMANCE#2
keyboard is a bit nice ##r , not tons .####0,1 4,6	KEYBOARD#GENERAL#2
for casual use , this will work fine for me .####-1,-1 7,8	LAPTOP#GENERAL#2
the default scaling 153 ##6 ##x ##86 ##4 looks excellent and sharp to me .####1,3 9,10	DISPLAY#OPERATION_PERFORMANCE#2
the default scaling 153 ##6 ##x ##86 ##4 looks excellent and sharp to me .####1,3 11,12	DISPLAY#OPERATION_PERFORMANCE#2
there ' s nothing i do n ' t like about this device , so in order of importance , here ' s what i love about it .####12,13 25,26	LAPTOP#GENERAL#2
i ' m typing this review in a dark room , and it reminds me how much i love this back ##lit keyboard .####20,23 18,19	KEYBOARD#OPERATION_PERFORMANCE#2
i love how quick this thing is .####-1,-1 1,2	CPU#OPERATION_PERFORMANCE#2
i love how quick this thing is .####-1,-1 3,4	CPU#OPERATION_PERFORMANCE#2
this thing is n ' t that fast , but for loading web pages , it ' s pretty close .####-1,-1 7,8	CPU#OPERATION_PERFORMANCE#2
the brightness and clarity are awesome .####1,2 5,6	DISPLAY#OPERATION_PERFORMANCE#2
the brightness and clarity are awesome .####3,4 5,6	DISPLAY#OPERATION_PERFORMANCE#2
this is quality hardware , and it shows .####3,4 2,3	HARDWARE#QUALITY#2
it ' s complementary , not revolutionary , which is much more intuitive and useful .####-1,-1 12,13	LAPTOP#GENERAL#2
it ' s complementary , not revolutionary , which is much more intuitive and useful .####-1,-1 14,15	LAPTOP#GENERAL#2
again , this is where the build quality really shine ##s .####6,8 9,11	LAPTOP#QUALITY#2
the micro ##sd slot leaves an inserted card perfectly flush .####1,4 8,9	PORTS#OPERATION_PERFORMANCE#2
this flip 2 really is a fantastic chrome ##book , and the ability to run android apps only makes it better !####1,3 6,7	LAPTOP#GENERAL#2
this flip 2 really is a fantastic chrome ##book , and the ability to run android apps only makes it better !####7,9 6,7	LAPTOP#GENERAL#2
this flip 2 really is a fantastic chrome ##book , and the ability to run android apps only makes it better !####15,17 20,21	SOFTWARE#OPERATION_PERFORMANCE#2
i absolutely love this beyond any computer / tablet device i have purchased in the last 10 years , trust me , i ' ve bought a lot of them along the way .####6,7 2,3	LAPTOP#GENERAL#2
i absolutely love this beyond any computer / tablet device i have purchased in the last 10 years , trust me , i ' ve bought a lot of them along the way .####8,10 2,3	LAPTOP#GENERAL#2
with the power of the internet and all the online productivity products the simplicity of this is fantastic .####-1,-1 17,18	LAPTOP#USABILITY#2
the addition of the play store puts the device into a sweet spot no other device can come close to matching .####8,9 11,12	LAPTOP#DESIGN_FEATURES#2
this as ##us chrome ##book fits the bill .####1,5 -1,-1	LAPTOP#GENERAL#2
can ' t say enough about my love of this chrome ##book .####10,12 7,8	LAPTOP#GENERAL#2
then the as ##us flip c ##30 ##2 came into my life :####2,8 -1,-1	LAPTOP#GENERAL#1
speaking of charges , it ' s so nice to be able to use usb c .####14,16 8,9	PORTS#GENERAL#2
our phones are usb c so one cable does everything for me .####3,5 -1,-1	PORTS#GENERAL#1
* keyboard * - the keyboard is alright .####-1,-1 7,8	KEYBOARD#GENERAL#1 KEYBOARD#GENERAL#1
* track pad * - the track ##pad is well done .####1,3 9,10	KEYBOARD#DESIGN_FEATURES#2
* track pad * - the track ##pad is well done .####6,8 9,10	KEYBOARD#DESIGN_FEATURES#2
80 % of the apps it ' s a poor experience .####4,5 9,10	SOFTWARE#QUALITY#0
the as ##us c ##30 ##2 is the best chrome ##book you can buy .####1,6 8,9	LAPTOP#GENERAL#2
the as ##us c ##30 ##2 is the best chrome ##book you can buy .####9,11 8,9	LAPTOP#GENERAL#2
the touch screen is super responsive and the keyboard is excellent .####1,3 5,6	DISPLAY#OPERATION_PERFORMANCE#2
the touch screen is super responsive and the keyboard is excellent .####8,9 10,11	KEYBOARD#GENERAL#2
it runs most of those apps and games beautifully and when combined with a ` ` log ##ite ##ch game ##pad f ##31 ##0 ` ` you can play the games with a game controller !####5,6 8,9	SOFTWARE#OPERATION_PERFORMANCE#2
overall this is a home run purchase and i can ' t say enough good things about the as ##us c ##30 ##2 .####18,23 14,15	LAPTOP#GENERAL#2
i mostly use it for playing a couple of games , surfing the web , managing my calendar / tasks lists , reading e - books , that sort of thing .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#1
the keyboard is small , a little weird and takes some getting used to .####1,2 3,4	KEYBOARD#DESIGN_FEATURES#0
the keyboard is small , a little weird and takes some getting used to .####1,2 7,8	KEYBOARD#DESIGN_FEATURES#0
the keyboard is excellent ( and back ##lit ) .####1,2 3,4	KEYBOARD#GENERAL#2
the keyboard is excellent ( and back ##lit ) .####6,8 3,4	KEYBOARD#GENERAL#2
the track pad is excellent .####1,3 4,5	KEYBOARD#GENERAL#2
the screen is excellent .####1,2 3,4	DISPLAY#GENERAL#2
this laptop performs in every way .####1,2 -1,-1	LAPTOP#OPERATION_PERFORMANCE#2
it ' s light , but also has a good weight to it .####-1,-1 3,4	LAPTOP#DESIGN_FEATURES#2
it ' s light , but also has a good weight to it .####-1,-1 9,10	LAPTOP#DESIGN_FEATURES#2
- the touch ##screen is very responsive , fast , and so far everything has scaled just fine during use####2,4 6,7	HARDWARE#OPERATION_PERFORMANCE#2
- the touch ##screen is very responsive , fast , and so far everything has scaled just fine during use####2,4 8,9	HARDWARE#OPERATION_PERFORMANCE#2
- the touch ##screen is very responsive , fast , and so far everything has scaled just fine during use####2,4 17,18	HARDWARE#OPERATION_PERFORMANCE#2
- the hinges are just perfect .####2,3 5,6	HARDWARE#GENERAL#2
- the speakers are to the sides and not underneath so the sound isn ' t muffled when it ' s resting on something other than a flat surface####2,3 -1,-1	MULTIMEDIA_DEVICES#DESIGN_FEATURES#2
- this chrome ##book has access to the android beta channel for android apps####2,4 -1,-1	LAPTOP#DESIGN_FEATURES#1
and because of the constant usage of higher brightness , the battery does drain faster .####11,12 14,15	BATTERY#OPERATION_PERFORMANCE#0
they both pick up oils and such pretty easily .####-1,-1 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
as for the as ##us , it is a wonderful laptop .####3,5 9,10	LAPTOP#GENERAL#2
as for the as ##us , it is a wonderful laptop .####10,11 9,10	LAPTOP#GENERAL#2
i have had no issues with the track pad ; it works fine .####7,9 12,13	KEYBOARD#OPERATION_PERFORMANCE#2
i have not fully tested battery life but it seems to last about as long as advertised .####5,7 -1,-1	BATTERY#OPERATION_PERFORMANCE#2
one , the display is gorgeous ; watching video is a treat .####3,4 5,6	DISPLAY#OPERATION_PERFORMANCE#2
one , the display is gorgeous ; watching video is a treat .####3,4 11,12	DISPLAY#OPERATION_PERFORMANCE#2
however , there is screen glare , even in a normally lit room , not just a brightly lit room .####4,5 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
i think that the be ##zel ##s are a sm ##idge thick , but that actually makes perfect sense .####4,7 17,18	HARDWARE#DESIGN_FEATURES#2
it ' s a real treat .####-1,-1 5,6	LAPTOP#GENERAL#2
my use experience has been riddle ##d with la ##g and ji ##tter ##iness , although using the touch ##screen for a moment sorts everything out .####18,20 -1,-1	HARDWARE#OPERATION_PERFORMANCE#2
the speakers get plenty loud , but they start to sound pretty bad when turned up a little past half volume .####1,2 4,5	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#2
the speakers get plenty loud , but they start to sound pretty bad when turned up a little past half volume .####1,2 12,13	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
the core m3 allows this system to get fast and to stay quiet .####1,3 8,9	CPU#OPERATION_PERFORMANCE#2
the core m3 allows this system to get fast and to stay quiet .####1,3 12,13	CPU#OPERATION_PERFORMANCE#2
sometimes , under heavy loads , the bottom of the c ##30 ##2 gets warm to the touch , but not to the point of pain .####10,13 -1,-1	FANS&COOLING#QUALITY#1
all the while , it provides one of the fastest web brows ##ing experiences that i ' ve ever experienced .####10,13 9,10	SOFTWARE#OPERATION_PERFORMANCE#2
it will take years of bad programming to make this chrome ##book as slow as my last one got .####10,12 5,6	LAPTOP#OPERATION_PERFORMANCE#0
it will take years of bad programming to make this chrome ##book as slow as my last one got .####10,12 13,14	LAPTOP#OPERATION_PERFORMANCE#0
2 ) the touch ##pad is way too won ##ky - as ##us needs to fix this asa ##p .####3,5 8,10	HARDWARE#OPERATION_PERFORMANCE#0
having had it for just over a month , i have to say i am thoroughly impressed by its versa ##tility and how stable the os is .####25,26 19,21	OS#OPERATION_PERFORMANCE#2
having had it for just over a month , i have to say i am thoroughly impressed by its versa ##tility and how stable the os is .####25,26 23,24	OS#OPERATION_PERFORMANCE#2
on a side note , there is a slight defect on my chrome ##book as there is some cr ##eak ##ing and loose feeling when pressing on the bottom left side of my screen , this can be especially annoying in tablet mode .####12,14 9,10	DISPLAY#QUALITY#0
on a side note , there is a slight defect on my chrome ##book as there is some cr ##eak ##ing and loose feeling when pressing on the bottom left side of my screen , this can be especially annoying in tablet mode .####33,34 39,40	LAPTOP#QUALITY#0
boot up is of course , almost instant .####0,2 7,8	OS#OPERATION_PERFORMANCE#2
- excellent keyboard in all aspects - feel , rigid ##ity , and back ##light####2,3 1,2	KEYBOARD#GENERAL#2
- excellent build quality - aluminium case is solid and has a premium feel####2,4 1,2	LAPTOP#QUALITY#2
- excellent build quality - aluminium case is solid and has a premium feel####5,7 8,9	LAPTOP#QUALITY#2
- excellent build quality - aluminium case is solid and has a premium feel####5,7 12,13	LAPTOP#QUALITY#2
- perfect balance of speed and battery life####6,8 1,2	BATTERY#OPERATION_PERFORMANCE#2
- my only real grip ##e is that i wish it was .####-1,-1 4,6	LAPTOP#DESIGN_FEATURES#0
other than my hope that it would be light enough to use as a tablet all the time , this is the chrome ##book i ' ve been wanting for a long time now .####22,24 -1,-1	LAPTOP#PORTABILITY#0
it ' s extremely useful as a laptop as well as , most of the time at least , a tablet .####7,8 4,5	LAPTOP#USABILITY#2
it ' s extremely useful as a laptop as well as , most of the time at least , a tablet .####20,21 4,5	LAPTOP#USABILITY#2
note : i bought a refurbished / ` ` damaged ` ` model from amazon and it ' s in absolutely flawless condition .####12,13 21,22	LAPTOP#GENERAL#2
pro ##s : lightweight , fast , portable , great battery life ( 12 .####-1,-1 3,4	LAPTOP#DESIGN_FEATURES#2
pro ##s : lightweight , fast , portable , great battery life ( 12 .####-1,-1 5,6	LAPTOP#OPERATION_PERFORMANCE#2
pro ##s : lightweight , fast , portable , great battery life ( 12 .####10,12 9,10	BATTERY#GENERAL#2
the keyboard and mouse on the as ##us were frequently rated as good but those on the pixel ##book were rave ##d about .####3,4 12,13	MOUSE#GENERAL#2
the side mounted speakers are clear .####1,4 5,6	MULTIMEDIA_DEVICES#QUALITY#2
the battery life is not anywhere near the advertised 8 hours .####1,3 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
the design and style is top ##not ##ch .####1,2 5,8	LAPTOP#DESIGN_FEATURES#2
the design and style is top ##not ##ch .####3,4 5,8	LAPTOP#DESIGN_FEATURES#2
boot speed : likewise , very fast -####-1,-1 6,7	OS#OPERATION_PERFORMANCE#2
many android apps work conditional ##ly : e .####1,3 -1,-1	SOFTWARE#OPERATION_PERFORMANCE#2
battery life is phenomena ##l again .####0,2 3,5	BATTERY#OPERATION_PERFORMANCE#2
the keyboard is fully sized and comfortable , the key travel is good with great action , back ##light ##ing is enough and adaptive .####1,2 3,5	KEYBOARD#DESIGN_FEATURES#2
the keyboard is fully sized and comfortable , the key travel is good with great action , back ##light ##ing is enough and adaptive .####17,20 21,22	KEYBOARD#DESIGN_FEATURES#2
the keyboard is fully sized and comfortable , the key travel is good with great action , back ##light ##ing is enough and adaptive .####17,20 23,24	KEYBOARD#DESIGN_FEATURES#2
the keyboard is fully sized and comfortable , the key travel is good with great action , back ##light ##ing is enough and adaptive .####1,2 6,7	KEYBOARD#QUALITY#2
the keyboard is fully sized and comfortable , the key travel is good with great action , back ##light ##ing is enough and adaptive .####9,11 12,13	KEYBOARD#OPERATION_PERFORMANCE#2
the keyboard is fully sized and comfortable , the key travel is good with great action , back ##light ##ing is enough and adaptive .####9,11 14,15	KEYBOARD#OPERATION_PERFORMANCE#2
- the aluminum build is firm and solid without feeling cheap .####2,4 5,6	LAPTOP#QUALITY#2
- the aluminum build is firm and solid without feeling cheap .####2,4 7,8	LAPTOP#QUALITY#2
- the aluminum build is firm and solid without feeling cheap .####2,4 8,11	LAPTOP#QUALITY#2
- the screen is great in all aspects .####2,3 4,5	DISPLAY#GENERAL#2
- performance is solid for chrome ##book use .####5,7 3,4	LAPTOP#OPERATION_PERFORMANCE#2
- battery life is great .####1,3 4,5	BATTERY#GENERAL#2
everything is either good or excellent in quality .####-1,-1 3,4	LAPTOP#QUALITY#2
everything is either good or excellent in quality .####-1,-1 5,6	LAPTOP#QUALITY#2
- screen brightness is generally ` ` enough ` ` but maybe not enough for watching dark movies in bright lights .####1,3 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
- speakers can ` ` chatter ` ` after playing youtube videos for a long period of time .####1,2 -1,-1	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
- performance can be stu ##ttering when under heavy load .####1,2 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
again , overall i believe this is a great laptop with an amazing keyboard .####9,10 8,9	LAPTOP#GENERAL#2
again , overall i believe this is a great laptop with an amazing keyboard .####13,14 12,13	KEYBOARD#GENERAL#2
- i was worried that because the chrome ##books are internet based it would run slow , but so far it is very fast at processing , installing , and up ##loading things .####7,9 3,4	LAPTOP#OPERATION_PERFORMANCE#0
- i was worried that because the chrome ##books are internet based it would run slow , but so far it is very fast at processing , installing , and up ##loading things .####7,9 15,16	LAPTOP#OPERATION_PERFORMANCE#0
- i was worried that because the chrome ##books are internet based it would run slow , but so far it is very fast at processing , installing , and up ##loading things .####7,9 23,24	LAPTOP#OPERATION_PERFORMANCE#2
- physically it is appealing looking .####-1,-1 4,5	LAPTOP#DESIGN_FEATURES#2
this is smart looking , thin , light weight , and portable .####-1,-1 2,3	LAPTOP#DESIGN_FEATURES#2
this is smart looking , thin , light weight , and portable .####-1,-1 5,6	LAPTOP#DESIGN_FEATURES#2
this is smart looking , thin , light weight , and portable .####-1,-1 7,8	LAPTOP#DESIGN_FEATURES#2
this is smart looking , thin , light weight , and portable .####0,1 11,12	LAPTOP#PORTABILITY#2
but , it was packed well and arrived with no damage whatsoever !####-1,-1 5,6	SHIPPING#QUALITY#2
the one annoyance is that office 365 doesn ' t provide a seam ##less way to save file off ##line and sync up when you ' re online .####5,7 2,3	SOFTWARE#DESIGN_FEATURES#0
- the keyboard is great and has a nice gentle / quiet click to it .####2,3 4,5	KEYBOARD#GENERAL#2
- the keyboard is great and has a nice gentle / quiet click to it .####2,3 8,9	KEYBOARD#USABILITY#2
- the keyboard is great and has a nice gentle / quiet click to it .####2,3 11,12	KEYBOARD#USABILITY#2
- the keys themselves don ' t travel that much which i prefer .####2,3 12,13	KEYBOARD#USABILITY#2
- the track ##pad , while a little on the small size , has a nice glass smooth finish and it works reliable well .####2,4 15,16	KEYBOARD#DESIGN_FEATURES#2
- the track ##pad , while a little on the small size , has a nice glass smooth finish and it works reliable well .####2,4 17,18	KEYBOARD#DESIGN_FEATURES#2
- the track ##pad , while a little on the small size , has a nice glass smooth finish and it works reliable well .####2,4 22,23	KEYBOARD#OPERATION_PERFORMANCE#2
- the track ##pad , while a little on the small size , has a nice glass smooth finish and it works reliable well .####2,4 23,24	KEYBOARD#OPERATION_PERFORMANCE#2
- the touch ##screen works great and is very responsive .####2,4 5,6	DISPLAY#OPERATION_PERFORMANCE#2
- the touch ##screen works great and is very responsive .####2,4 9,10	DISPLAY#OPERATION_PERFORMANCE#2
- the build quality is great but not necessarily impressive .####2,4 5,6	LAPTOP#QUALITY#2
- the build quality is great but not necessarily impressive .####2,4 7,10	LAPTOP#QUALITY#0
tablet works just fine though .####0,1 3,4	LAPTOP#OPERATION_PERFORMANCE#2
build quality and design are top notch .####0,2 5,7	LAPTOP#QUALITY#2
build quality and design are top notch .####3,4 5,7	LAPTOP#DESIGN_FEATURES#2
i absolutely love this chrome ##book !####4,6 2,3	LAPTOP#GENERAL#2
so , i originally purchased this for the travel convenience ##s .####-1,-1 -1,-1	LAPTOP#PORTABILITY#1
most of my love for this laptop is based on the operating system but since you get that with every chrome ##book , i ' ll tell you what i like and dislike about the physical laptop only .####36,37 3,4	OS#OPERATION_PERFORMANCE#2
the display is perfect for me , plenty of brightness and a decent resolution .####1,2 3,4	DISPLAY#GENERAL#2
the display is perfect for me , plenty of brightness and a decent resolution .####1,2 9,10	DISPLAY#GENERAL#2
the display is perfect for me , plenty of brightness and a decent resolution .####13,14 12,13	DISPLAY#DESIGN_FEATURES#2
the usb - c ports are nice and i found that a completely dead battery to fully charged time was about an hour .####1,5 6,7	PORTS#GENERAL#2
the usb - c ports are nice and i found that a completely dead battery to fully charged time was about an hour .####17,19 -1,-1	POWER_SUPPLY#OPERATION_PERFORMANCE#2
i really liked that this chrome ##book came with 64 ##gb of space but i really don ' t see how someone may fill that up unless they opt to sync their google drive off ##line or something .####5,7 2,3	LAPTOP#GENERAL#2
i wish the display was able to go about 1 or 2 clicks brighter and about 1 click darker at the lowest setting .####3,4 -1,-1	DISPLAY#DESIGN_FEATURES#0
the speaker volume is decent but the quality of sound is terrible .####1,3 4,5	MULTIMEDIA_DEVICES#GENERAL#0
the speaker volume is decent but the quality of sound is terrible .####7,10 11,12	MULTIMEDIA_DEVICES#QUALITY#0
the keyboard is awesome .####1,2 3,4	KEYBOARD#DESIGN_FEATURES#2
- it ' s a bit heavy in tablet mode .####8,10 6,7	LAPTOP#PORTABILITY#0
- i wish the sound quality was better .####4,6 7,8	MULTIMEDIA_DEVICES#GENERAL#1
despite these con ##s i think this was a great purchase .####-1,-1 9,10	LAPTOP#GENERAL#2
despite these con ##s i think this was a great purchase .####-1,-1 2,4	LAPTOP#GENERAL#0
performance wise , this is an excellent machine - it has a beautiful touch ##screen , plenty of storage , converts to a tablet , and seam ##lessly connects to the google play store to run any of the millions of android apps available .####13,15 12,13	DISPLAY#DESIGN_FEATURES#2
performance wise , this is an excellent machine - it has a beautiful touch ##screen , plenty of storage , converts to a tablet , and seam ##lessly connects to the google play store to run any of the millions of android apps available .####18,19 -1,-1	MEMORY#DESIGN_FEATURES#2
the customer / warrant ##y service that i received was first class and i am very impressed by as ##us for this reason alone .####1,6 10,12	SUPPORT#QUALITY#2
the customer / warrant ##y service that i received was first class and i am very impressed by as ##us for this reason alone .####18,20 16,17	LAPTOP#GENERAL#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####22,27 7,8	LAPTOP#GENERAL#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####22,27 20,21	LAPTOP#GENERAL#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####8,9 7,8	LAPTOP#GENERAL#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####8,9 20,21	LAPTOP#GENERAL#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####22,27 11,12	LAPTOP#DESIGN_FEATURES#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####8,9 11,12	LAPTOP#DESIGN_FEATURES#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####22,27 13,14	LAPTOP#DESIGN_FEATURES#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####8,9 13,14	LAPTOP#DESIGN_FEATURES#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####22,27 16,17	LAPTOP#USABILITY#2
if you are in need of a reliable laptop that is lightweight , fast , and convertible , i highly recommend the as ##us c ##30 ##2 !####8,9 16,17	LAPTOP#USABILITY#2
i loved the simplicity of chrome os while enjoying the flip aspect of being able to turn it into a reading tablet when i wanted to as well .####10,11 8,9	LAPTOP#DESIGN_FEATURES#2
this time around , as ##us released an absolutely refined masterpiece .####4,6 10,11	COMPANY#GENERAL#2
the c ##30 ##2 is heavier in size and appearance and also significantly better in all aspects .####1,4 5,6	LAPTOP#DESIGN_FEATURES#2
the c ##30 ##2 is heavier in size and appearance and also significantly better in all aspects .####1,4 13,14	LAPTOP#DESIGN_FEATURES#2
the keyboard traction is click ##y and the layout is spaced out well enough for a terrific typing experience .####1,2 4,6	KEYBOARD#OPERATION_PERFORMANCE#2
the keyboard traction is click ##y and the layout is spaced out well enough for a terrific typing experience .####8,9 12,13	KEYBOARD#OPERATION_PERFORMANCE#2
the keyboard traction is click ##y and the layout is spaced out well enough for a terrific typing experience .####8,9 16,17	KEYBOARD#OPERATION_PERFORMANCE#2
the premium feel combined with the charming simplicity of chrome os really gives it a stunning experience .####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
the premium feel combined with the charming simplicity of chrome os really gives it a stunning experience .####-1,-1 15,16	LAPTOP#OPERATION_PERFORMANCE#2
the premium feel combined with the charming simplicity of chrome os really gives it a stunning experience .####9,11 6,7	OS#OPERATION_PERFORMANCE#2
so i decided to purchase the as ##us flip , and so far it has met every one of my ni ##tp ##ick ##y demanding needs .####6,9 -1,-1	LAPTOP#GENERAL#2
build quality is very good , nearing the ` ` excellent ` ` mark , especially for the price .####0,2 4,5	LAPTOP#QUALITY#2
build quality is very good , nearing the ` ` excellent ` ` mark , especially for the price .####0,2 10,11	LAPTOP#QUALITY#2
build quality is very good , nearing the ` ` excellent ` ` mark , especially for the price .####-1,-1 -1,-1	LAPTOP#PRICE#2
sound has been fine , except for a few issues with an android app , and that can easily be software related as android is still in infant stages ( or at least todd ##ler ) on chrome ##books , and i expect those qui ##rks will smooth out over time as chrome ##book software is updated on a very regular basis .####12,14 -1,-1	SOFTWARE#OPERATION_PERFORMANCE#0
the keyboard is very nice for me .####1,2 4,5	KEYBOARD#GENERAL#2
android is running flawless ##ly so far , barr ##ing one minor incident with sound on clash of clans ( which went away on re ##boot ) .####0,1 3,5	SOFTWARE#OPERATION_PERFORMANCE#2
the m3 processor is fast and fluid .####1,3 4,5	CPU#OPERATION_PERFORMANCE#2
the m3 processor is fast and fluid .####1,3 6,7	CPU#OPERATION_PERFORMANCE#2
and the back ##lit keyboard has a very good feel , and great key ` ` travel . ` `####2,5 8,9	KEYBOARD#USABILITY#2
and the back ##lit keyboard has a very good feel , and great key ` ` travel . ` `####2,5 12,13	KEYBOARD#USABILITY#2
and the back ##lit keyboard has a very good feel , and great key ` ` travel . ` `####4,5 8,9	KEYBOARD#USABILITY#2
and the back ##lit keyboard has a very good feel , and great key ` ` travel . ` `####4,5 12,13	KEYBOARD#USABILITY#2
despite the minor case marks , i can heart ##ily recommend this chrome ##book based on features , design , and operation .####12,14 10,11	LAPTOP#DESIGN_FEATURES#2 LAPTOP#OPERATION_PERFORMANCE#2
great product build - the quality of this as ##us chrome ##book is impressive at any price , but at sub - $ 500 it ' s as ##tou ##nding .####1,3 0,1	LAPTOP#DESIGN_FEATURES#2
great product build - the quality of this as ##us chrome ##book is impressive at any price , but at sub - $ 500 it ' s as ##tou ##nding .####8,12 13,14	LAPTOP#QUALITY#2
great product build - the quality of this as ##us chrome ##book is impressive at any price , but at sub - $ 500 it ' s as ##tou ##nding .####8,12 27,30	LAPTOP#PRICE#2
the metal case is really well built , and the fit and finish are virtually perfect .####1,3 5,6	LAPTOP#QUALITY#2
the metal case is really well built , and the fit and finish are virtually perfect .####10,11 15,16	LAPTOP#QUALITY#2
the metal case is really well built , and the fit and finish are virtually perfect .####12,13 15,16	LAPTOP#QUALITY#2
that said just buy it with confidence , it ' s a top quality product all around , and , it looks and feels that way .####-1,-1 12,13	LAPTOP#QUALITY#2
the keyboard and touch ##pad experience are pivotal for a device like this and what as ##us delivers is very satisfying .####15,17 20,21	COMPANY#GENERAL#2
the back - lit keyboard is a joy to use and the 1920 x 108 ##0 touch ##screen is superb .####1,5 7,8	KEYBOARD#USABILITY#2
the back - lit keyboard is a joy to use and the 1920 x 108 ##0 touch ##screen is superb .####16,18 19,20	DISPLAY#GENERAL#2
this chrome ##book is light - weight , durable and beautiful .####1,3 4,5	LAPTOP#DESIGN_FEATURES#2
this chrome ##book is light - weight , durable and beautiful .####1,3 10,11	LAPTOP#DESIGN_FEATURES#2
this chrome ##book is light - weight , durable and beautiful .####1,3 8,9	LAPTOP#OPERATION_PERFORMANCE#2
the 360 - degree hinges allow me to make presentations to customers and the battery life is amazing .####1,5 -1,-1	LAPTOP#GENERAL#2
the 360 - degree hinges allow me to make presentations to customers and the battery life is amazing .####14,16 17,18	BATTERY#GENERAL#2
this little guy fits the bill perfectly .####2,3 6,7	LAPTOP#OPERATION_PERFORMANCE#2
the touch screen is nice , and i like to use it for free handing things when i need to .####1,3 4,5	DISPLAY#GENERAL#2
this chrome book joins the group and is itself excellent and different .####1,3 9,10	LAPTOP#GENERAL#2
this chrome book joins the group and is itself excellent and different .####1,3 11,12	LAPTOP#GENERAL#2
the screen is bright and color spread is good .####1,2 3,4	DISPLAY#OPERATION_PERFORMANCE#2
the screen is bright and color spread is good .####5,7 8,9	DISPLAY#OPERATION_PERFORMANCE#2
fast , beautiful display , comfortable keyboard , and the android apps work well ( not great yet , but well ) .####3,4 2,3	DISPLAY#DESIGN_FEATURES#2
fast , beautiful display , comfortable keyboard , and the android apps work well ( not great yet , but well ) .####3,4 0,1	DISPLAY#DESIGN_FEATURES#2
fast , beautiful display , comfortable keyboard , and the android apps work well ( not great yet , but well ) .####6,7 5,6	KEYBOARD#USABILITY#2
fast , beautiful display , comfortable keyboard , and the android apps work well ( not great yet , but well ) .####10,12 20,21	SOFTWARE#OPERATION_PERFORMANCE#2
fast , beautiful display , comfortable keyboard , and the android apps work well ( not great yet , but well ) .####10,12 -1,-1	SOFTWARE#OPERATION_PERFORMANCE#2
fast , beautiful display , comfortable keyboard , and the android apps work well ( not great yet , but well ) .####10,12 15,17	SOFTWARE#OPERATION_PERFORMANCE#2
